2,Truck,ertu,efr,red,2001,300.0
3,Car,BMW,ss,blue,147158,2012,100.0
4,Car,ww,dd,dd,234671,2020,345.0
6,Truck,toyota,pasd,blue,918354,2003,100.0
7,Bus,dere,dffr,orange,090909,2011,120.0
8,Car,hondai,sentafe,selver,102030,2022,300.0
9,Car,hon,hh,red,159874,2010,200.0
11,Car,Kia,Waa,blue,587421,2022,120.0
12,Bus,awd,awd,white,147741,2005,200.0
13,Bus,qaz,qaz,red,895665,2015,75.0
14,Car,kia,kias,red,548712,2020,500.0
15,Car,Jkd,kl,blue,148963,2005,55.0
17,Car,mer,mrj,black,158742,65.0,55.0
18,Car,bmw,bmwjj,blue,2021,2020,80.0
19,Car,Honda,Civic,Black,123456,2022,100.0
20,Car,Honda,Civic,Black,123456,2022,100.0
21,Car,Honda,Civic,Black,123456,2022,100.0
22,Car,Honda,Civic,Black,123456,2022,100.0
23,Car,Honda,Civic,Black,123456,2022,100.0
24,Car,Honda,Civic,Black,123456,2022,100.0
26,Car,Honda,Civic,Black,123456,2022,100.0
27,Car,Honda,Civic,Black,123456,2022,100.0
28,Car,Honda,Civic,Black,123456,2022,100.0
29,Car,Honda,Civic,Black,123456,2022,100.0
30,Car,Honda,Civic,Black,123456,2022,100.0
31,Car,Honda,Civic,Black,123456,2022,100.0
32,Car,Honda,Civic,Black,123456,2022,100.0
33,Car,Honda,Civic,Black,123456,2022,100.0
34,Car,Honda,Civic,Black,123456,2022,100.0
35,Car,Honda,Civic,Black,123456,2022,100.0
36,Car,Honda,Civic,Black,123456,2022,100.0
37,Car,Honda,Civic,Black,123456,2022,100.0
38,Car,Honda,Civic,Black,123456,2022,100.0
39,Car,Honda,Civic,Black,123456,2022,100.0
40,Car,Honda,Civic,Black,123456,2022,100.0
41,Car,Honda,Civic,Black,123456,2022,100.0
42,Car,Toyota,Corolla,Black,654321,2022,100.0
43,Car,Honda,Civic,Black,123456,2022,100.0
44,Car,Honda,Civic,Black,123456,2022,100.0
45,Car,Honda,Civic,Black,123456,2022,100.0
46,Car,Honda,Civic,Black,123456,2022,100.0
47,Car,Honda,Civic,Black,123456,2022,100.0
48,Car,Honda,Civic,Black,123456,2022,100.0
49,Car,Honda,Civic,Black,123456,2022,100.0
50,Car,Honda,Civic,Black,123456,2022,100.0
51,Car,Honda,Civic,Black,123456,2022,100.0
52,Car,Honda,Civic,Black,123456,2022,100.0
53,Car,Honda,Civic,Black,123456,2022,100.0
54,Car,Honda,Civic,Black,123456,2022,100.0
55,Car,Honda,Civic,Black,123456,2022,100.0
56,Car,Honda,Civic,Black,123456,2022,100.0
57,Car,Honda,Civic,Black,123456,2022,100.0
58,Car,Honda,Civic,Black,123456,2022,100.0
59,Car,Honda,Civic,Black,123456,2022,100.0
60,Car,Honda,Civic,Black,123456,2022,100.0
61,Car,Honda,Civic,Black,123456,2022,100.0
62,Car,Honda,Civic,Black,123456,2022,100.0
63,Car,Honda,Civic,Black,123456,2022,100.0
64,Car,Honda,Civic,Black,123456,2022,100.0
65,Car,Honda,Civic,Black,123456,2022,100.0
66,Car,Honda,Civic,Black,123456,2022,100.0
67,Car,Honda,Civic,Black,123456,2022,100.0
68,Car,Honda,Civic,Black,123456,2022,100.0
69,Car,Honda,Civic,Black,123456,2022,100.0
70,Car,Honda,Civic,Black,123456,2022,100.0
71,Car,Honda,Civic,Black,123456,2022,100.0
72,Car,Honda,Civic,Black,123456,2022,100.0
73,Car,Honda,Civic,Black,123456,2022,100.0
74,Car,Honda,Civic,Black,123456,2022,100.0
75,Car,Honda,Civic,Black,123456,2022,100.0
76,Car,Honda,Civic,Black,123456,2022,100.0
77,Car,Honda,Civic,Black,123456,2022,100.0
78,Car,Honda,Civic,Black,123456,2022,100.0
79,Car,Honda,Civic,Black,123456,2022,100.0
80,Car,Honda,Civic,Black,123456,2022,100.0
81,Car,Honda,Civic,Black,123456,2022,100.0
82,Car,Honda,Civic,Black,123456,2022,100.0
83,Car,Honda,Civic,Black,123456,2022,100.0
84,Car,Honda,Civic,Black,123456,2022,100.0
85,Car,Honda,Civic,Black,123456,2022,100.0
86,Car,Honda,Civic,Black,123456,2022,100.0
87,Car,Honda,Civic,Black,123456,2022,100.0
88,Car,Honda,Civic,Black,123456,2022,100.0
89,Car,Honda,Civic,Black,123456,2022,100.0
90,Car,Honda,Civic,Black,123456,2022,100.0
91,Car,Honda,Civic,Black,123456,2022,100.0
92,Car,Honda,Civic,Black,123456,2022,100.0
93,Car,Honda,Civic,Black,123456,2022,100.0
